product_id,product_name,category_id,cost_price,selling_price
1,Product_1,5,527.1,735.53
2,Product_2,5,217.81,357.51
3,Product_3,3,767.21,1022.25
4,Product_4,4,916.94,1197.59
5,Product_5,4,945.04,1170.67
6,Product_6,3,276.6,502.0
7,Product_7,5,783.95,887.11
8,Product_8,2,211.21,347.46
9,Product_9,2,428.46,511.02
10,Product_10,3,591.22,832.69
11,Product_11,1,996.53,1065.82
12,Product_12,3,985.51,1182.28
13,Product_13,4,985.24,1285.18
14,Product_14,3,773.88,835.44
15,Product_15,2,359.19,605.26
16,Product_16,4,426.68,513.19
17,Product_17,5,810.67,1030.91
18,Product_18,1,906.6,1073.55
19,Product_19,3,448.26,550.09
20,Product_20,2,206.95,310.12
21,Product_21,4,810.03,979.74
22,Product_22,1,677.45,762.37
23,Product_23,4,723.05,882.24
24,Product_24,2,494.98,707.41
25,Product_25,1,525.43,616.33
26,Product_26,3,982.92,1067.45
27,Product_27,2,336.38,450.15
28,Product_28,4,936.21,1109.03
29,Product_29,2,800.1,899.33
30,Product_30,2,504.29,777.12
31,Product_31,2,362.23,626.78
32,Product_32,4,658.82,731.29
33,Product_33,3,241.31,325.05
34,Product_34,2,860.27,1055.32
35,Product_35,4,424.72,672.13
36,Product_36,5,339.96,475.35
37,Product_37,4,914.82,1054.07
38,Product_38,5,418.92,479.42
39,Product_39,3,210.87,322.67
40,Product_40,4,307.15,572.07
41,Product_41,4,709.78,974.93
42,Product_42,4,547.49,686.22
43,Product_43,3,509.04,753.95
44,Product_44,2,279.82,418.38
45,Product_45,5,837.83,1069.85
46,Product_46,2,290.34,430.7
47,Product_47,2,956.69,1060.95
48,Product_48,3,323.52,521.25
49,Product_49,4,492.55,742.43
50,Product_50,3,253.19,349.62
51,Product_51,2,476.17,555.46
52,Product_52,3,418.24,479.01
53,Product_53,4,625.72,826.4
54,Product_54,1,489.53,749.08
55,Product_55,5,860.61,1093.46
56,Product_56,2,569.54,647.95
57,Product_57,2,482.7,740.59
58,Product_58,5,638.54,815.22
59,Product_59,2,292.64,404.14
60,Product_60,3,556.16,802.62
61,Product_61,1,276.33,502.09
62,Product_62,3,360.41,645.3
63,Product_63,2,690.25,786.28
64,Product_64,4,298.31,551.64
65,Product_65,4,322.39,475.42
66,Product_66,3,875.95,1033.57
67,Product_67,3,690.54,927.76
68,Product_68,4,279.06,421.5
69,Product_69,5,588.02,813.31
70,Product_70,3,487.9,631.73
71,Product_71,3,266.36,443.64
72,Product_72,2,718.32,996.64
73,Product_73,4,393.19,530.55
74,Product_74,1,842.24,1101.29
75,Product_75,1,815.1,964.09
76,Product_76,5,894.7,1177.62
77,Product_77,2,689.49,751.83
78,Product_78,3,563.32,846.64
79,Product_79,5,761.4,1056.91
80,Product_80,4,431.77,720.59
81,Product_81,2,634.55,829.09
82,Product_82,1,704.51,972.36
83,Product_83,1,597.23,879.09
84,Product_84,3,777.11,879.45
85,Product_85,3,552.04,634.25
86,Product_86,4,446.46,711.01
87,Product_87,2,461.7,653.62
88,Product_88,1,622.6,758.88
89,Product_89,3,736.09,994.52
90,Product_90,5,873.17,1001.14
91,Product_91,3,867.75,1123.06
92,Product_92,3,954.15,1192.78
93,Product_93,2,651.65,711.66
94,Product_94,1,408.96,659.62
95,Product_95,5,331.29,414.61
96,Product_96,5,330.9,529.15
97,Product_97,1,856.8,960.84
98,Product_98,3,251.95,407.69
99,Product_99,2,788.2,844.34
100,Product_100,2,928.92,1135.1
